channel_id,all_comment_count,eng_comment_count
UC55hzEBczDivH31zVueh8Gg,30,0
UC56dNUTok1pgvpY75CsJQ4Q,59,9
UC59K-uG2A5ogwIrHw4bmlEg,137,94
UC5CugyvTdOloiuTc9nN09TA,35,27
UC5EcQrgvXsgGLR4ukxBTM8w,33,24
UC5FNGaz7gMK1GaqHeQ_INYQ,7,4
UC5FZ8PMYt4h4MHtDjgiTklA,30,17
UC5H9MzrMkJ5iuN11vV2PLhA,69,26
UC5IuDMmKWSsBFB0iKky6aEQ,28,23
UC5LgwusHqV8Ibl18sRaGTgg,22,15
UC5NsCSD7fuNzczbEliIIa0w,31,7
UC5QciHe35MiA_adJZUI-TCA,242,173
UC5Qj4RxFiIBYSH-1jKVjNqQ,30,22
UC5QvDEFmd-KLWz6p6CSDehA,11,4
UC5Sl4VbJELXi9SCaWbTdXfA,3,3
UC5T7D-Dh1eDGtsAFCuwv_Sw,1,1
UC5WjFrtBdufl6CZojX3D8dQ,62,39
UC5Wz4fFacYuON6IKbhSa7Zw,28,24
UC5Y1pPVNm-odhiubuRO1D6A,21,5
UC5Z010wx1Yy_sQA6wNji93w,33,24
UC5apxzE3aEOpvP0XkeuW8mw,29,6
UC5asLXjw7vevJAKe0f4qtlA,5,2
UC5c7sXwWNvA-KQ_b7OxdsMg,29,18
UC5cs06DgLFeyLIF_II7lWCQ,22,1
UC5f5IV0Bf79YLp_p9nfInRA,32,13
UC5g3t_XWCC2jNLFA1POenCw,1,0
UC5hXaKEUulRpdBoivsmCSTw,38,19
UC5nw8exLddNg1nBm8stemdg,27,12
UC5oMpJJ5poXbBgABWwnuW5w,26,23
UC5p10kZrTNj5kHaRfSCNOQA,28,21
UC5rP-wFWe80lXN0unKDoulg,8,5
UC5zS0_6TYr17qTnvw_9vang,27,6
UC6-EmBtXmXOMPF-vWr9YaJA,32,26
UC61tzH0mtu0nuZIQikxT9FQ,34,10
UC63FOuee249Jpg1O075KFwQ,39,32
UC63mNFJR8EAb8wAIJwoCmTA,71,25
UC64ssaQO8MZiLOYqUHFxIEQ,6,4
UC6A_LC-A5NVJ2vw9A0OjCug,34,22
UC6DlKHO4DAHjB6fBqqI11cA,39,24
UC6Fm1WbZBIp-0OXXHWV_PRQ,42,36
UC6H07z6zAwbHRl4Lbl0GSsw,28,15
UC6JhCqFwuSBJfseypJ2HZMw,26,6
